seed,es_patience,es_var,es_mode,use_lr_scheduler,lr_training_epochs,lr_warmup_epochs,tensorboard_log_dir,data_dir,predict_data_dir,cls_label_file,aug_hist_equalize,batch_size,no_crop_resize,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_auroc,test_partial_auroc,test_sens_at_95_spec
100.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,20.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h1f9e2f2bd7c8736d_s100_f0,0.9864309430122375,0.9397447109222412,0.9200265407562256
200.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,20.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h1f9e2f2bd7c8736d_s200_f1,0.9835081100463867,0.9348983764648438,0.9294000267982483
300.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,20.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h1f9e2f2bd7c8736d_s300_f2,0.9820474982261658,0.9258527159690857,0.9063329696655273
100.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,40.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h458a6e2eae2eb24b_s100_f0,0.9831336140632629,0.9344593286514282,0.906279981136322
200.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,40.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h458a6e2eae2eb24b_s200_f1,0.9836195111274719,0.9380515217781067,0.9135123491287231
300.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,40.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h458a6e2eae2eb24b_s300_f2,0.9783478379249573,0.922078013420105,0.9001011252403259
100.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,10.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h80e50dc8930f5af6_s100_f0,0.9850640296936035,0.9388030767440796,0.9078525304794312
200.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,10.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h80e50dc8930f5af6_s200_f1,0.9818630218505859,0.9300369024276733,0.9082868099212646
300.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_rotations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,10.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h80e50dc8930f5af6_s300_f2,0.9817426204681396,0.9412900805473328,0.916006326675415
